,,,,,,,,,
,,,,,,,,,
,C,,1,2,3,5,10,100,1000
,,Acc,0.3692,0.3754,0.3625,0.3688,0.4150,0.4942,0.4933
,1,0.3692,,,,,,,0.0257
,2,0.3754,,,,,,,
,3,0.3625,,,,,,,0.0312
,5,0.3688,,,,,,,0.0233
,10,0.4150,,,,,,,
,100,0.4942,,,,,,,
,1000,0.4933,0.0257,,0.0312,0.0233,,,
